model,CHE,without CE (no detail specified),SMT before and after channel,channel V intrinsic (z=0) other without CE,with CE (no detail specified),channel I intrinsic (z=0) classic CE (SMT+CE),channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE,channel V intrinsic (z=0) other with CE,channel V intrinsic (z=0) CE not specified,All intrinsic (z=0) [Gpc^-3 yr^-1],fraction without common envelope,fraction with common envelope,fraction CHE,fraction not specified
Boesky_alphaCE_0_1_beta0_75,0.000000000000,0.25218200000,0.00000000000,0.00000000000,0.01021400000,0.00000000000,0.47515300000,0.00000000000,0.26245100000,0.00000000000,0.79144200000,0.25218200000,0.74781800000,0.000000000000,0.00000000000
Boesky_alphaCE_0_5_beta0_25,0.000000000000,0.73997300000,0.00000000000,0.00000000000,0.04391000000,0.00000000000,0.17590400000,0.00000000000,0.04021300000,0.00000000000,50.40343000000,0.73997300000,0.26002700000,0.000000000000,0.00000000000
Boesky_alphaCE_0_5_beta0_5,0.000000000000,0.76115100000,0.00000000000,0.00000000000,0.00435400000,0.00000000000,0.18315700000,0.00000000000,0.05133800000,0.00000000000,29.80817000000,0.76115100000,0.23884900000,0.000000000000,0.00000000000
Boesky_alphaCE_0_5_beta0_75,0.000000000000,0.03000200000,0.00000000000,0.00000000000,0.05946100000,0.00000000000,0.70754300000,0.00506000000,0.19793300000,0.00000000000,11.78619000000,0.03000200000,0.96999700000,0.000000000000,0.00000000000
Boesky_alphaCE_2_beta0_25,0.000000000000,0.31189300000,0.00000000000,0.00000000000,0.28215700000,0.00000000000,0.32550800000,0.00000000000,0.08044200000,0.00000000000,134.08630000000,0.31189300000,0.68810700000,0.000000000000,0.00000000000
Boesky_alphaCE_2_beta0_5,0.000000000000,0.46423000000,0.00000000000,0.00000000000,0.03559500000,0.00000000000,0.39780800000,0.00000000000,0.10236700000,0.00000000000,66.39988000000,0.46423000000,0.53577000000,0.000000000000,0.00000000000
Boesky_alphaCE_2_beta0_75,0.000000000000,0.04037500000,0.00000000000,0.00000000000,0.03600800000,0.00000000000,0.55753500000,0.11770700000,0.24837400000,0.00000000000,47.59018000000,0.04037500000,0.95962400000,0.000000000000,0.00000000000
Boesky_alphaCE_10_beta0_25,0.000000000000,0.52321600000,0.00000000000,0.00000000000,0.11361400000,0.00000000000,0.34010700000,0.00000000000,0.02306400000,0.00000000000,111.08270000000,0.52321600000,0.47678500000,0.000000000000,0.00000000000
Boesky_alphaCE_10_beta0_5,0.000000000000,0.66409800000,0.00000000000,0.00000000000,0.04028600000,0.00000000000,0.27664500000,0.00000000000,0.01897100000,0.00000000000,95.62283000000,0.66409800000,0.33590200000,0.000000000000,0.00000000000
Boesky_alphaCE_10_beta0_75,0.000000000000,0.02892000000,0.00000000000,0.00000000000,0.08535400000,0.00000000000,0.84538600000,0.01379800000,0.02654200000,0.00000000000,59.61691000000,0.02892000000,0.97108000000,0.000000000000,0.00000000000
