model,channel II intrinsic (z=0) OSMT,channel V intrinsic (z=0) other without CE,channel I intrinsic (z=0) classic,channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE,channel V intrinsic (z=0) other with CE,channel V intrinsic (z=0) other (CE not specified) ,All intrinsic (z=0) [Gpc^-3 yr^-1]
Boesky_alphaCE_0_1_beta0_5,0.619209,,0.089882,0.033474,0,,0.257434,96.20901
Boesky_alphaCE_0_1_beta0_75,0.79405,,0.062851,0.053251,0,,0.089848,124.1771
Boesky_alphaCE_0_5_beta0_25,0.354362,,0.085174,0.168537,1.23E-08,,0.391927,80.32091
Boesky_alphaCE_0_5_beta0_5,0.546465,,0.067707,0.149888,1.88E-08,,0.23594,108.0684
Boesky_alphaCE_0_5_beta0_75,0.71598,,0.049236,0.11437,5.76E-05,,0.120357,135.4436
Boesky_alphaCE_2_beta0_25,0.191057,,0.294623,0.256064,1.30E-07,,0.258256,154.4951
Boesky_alphaCE_2_beta0_5,0.366842,,0.207875,0.209564,2.39E-08,,0.21572,177.3947
Boesky_alphaCE_2_beta0_75,0.57912,,0.170303,0.121047,0.008563,,0.120967,226.7247
Boesky_alphaCE_10_beta0_25,0.374648,,0.195185,0.147076,2.59E-07,,0.283091,83.2207
Boesky_alphaCE_10_beta0_5,0.556875,,0.122652,0.126832,8.93E-08,,0.19364,108.7989
Boesky_alphaCE_10_beta0_75,0.775405,,0.077379,0.080286,0.006567,,0.060363,138.8161
Boesky_sigma_30_RMP_D,0.253235,,0.572543,0.101428,0.005451,,0.067344,237.992
Boesky_sigma_30_RMP_M,0.418591,,0.436681,0.070117,0.002865,,0.071746,433.4387
Boesky_sigma_30_RMP_R,0.307189,,0.59329,0.058536,0.001376,,0.039609,182.8498
Boesky_sigma_265_RMP_D,0.47897,,0.169253,0.238477,0.005946,,0.107355,95.31503
Boesky_sigma_265_RMP_M,0.43121,,0.091113,0.049584,0.018843,,0.40925,19.01946
Boesky_sigma_265_RMP_R,0.435402,,0.332813,0.155883,0.002955,,0.072947,139.3869
Boesky_sigma_750_RMP_D,0.620945,,0.10602,0.183577,0.00129,,0.088167,33.41011
Boesky_sigma_750_RMP_M,0.158628,,0.01792,0.054162,0.022854,,0.746437,0.598765
Boesky_sigma_750_RMP_R,0.508689,,0.302999,0.109275,0.002433,,0.076603,82.63941
R25-A-Fiducial,0.01108841552,0,0.9463087248,0,0.04260285964,0,0,68.54
R25-B-RMAX,0.008356985178,0,0.9504888048,0,0.04115421003,0,0,63.42
R25-C-Conv_ML1.5,0.04246575342,0,0.9547945205,0,0.002739726027,0,0,14.6
R25-D-Conv_ML1.5_RMAX,0.05501618123,0,0.7896440129,0.1521035599,0.003236245955,0,0,3.09
R25-E-Conv_ML1.82_MLTpp,0.000009662675981,0,0.9603733658,0.003285309834,0.03633166169,0,0,103.491
R25-E-Conv_ML1.82_MLTpp_RMAX,0.0007716049383,0,0.9470164609,0.01440329218,0.03780864198,0,0,38.88
R25-A-Fiducial_Optimistic,0.001822979132,0,0.9898776685,0,0.008299352363,0,0,416.9
R25-B-RMAX_Optimistic,0.001480195998,0,0.9896641486,0,0.00885565537,0,0,391.84
R23-A-Fiducial,0.004614940871,0,0.9613498702,0.0005768676089,0.03345832132,0,0,69.34
R23-B-RMAX2,0.003756456409,0,0.9915479731,0.003756456409,0.0009391141024,0,0,63.89
R23-C-RMAX3,0.009165902841,0,0.3767186068,0.001374885426,0.6127406049,0,0,43.64
R23-D-RMAX4,0.01146788991,0,0.8903669725,0.0009174311927,0.09724770642,0,0,21.8
R23-E-RMAX4B,0.003371130861,0,0.9670548575,0.0009193993258,0.02865461232,0,0,65.26
R23-A-Fiducial_Optimistic,0.000620094952,0,0.9923844589,0.0009882763298,0.006007169848,0,0,516.05
R23-B-RMAX2_Optimistic,0.0004822840975,0,0.9923035496,0.001125329561,0.006088836731,0,0,497.632
R23-C-RMAX3_Optimistic,0.001877581675,0,0.8508730755,0.002159218926,0.1450901239,0,0,213.04
R23-D-RMAX4_Optimistic,0.00161885644,0,0.9749401023,0.001424593667,0.02201644758,0,0,154.43
R23-E-RMAX4B_Optimistic,0.0004423355316,0,0.9921384912,0.001568280521,0.005850892714,0,0,497.36
