Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.01,0.5,29988,946,7873,658,1187,464,8875,8221,621,0,621,2584,1938,646,12130,10,29,0,0,0,46451,0,461,405,0,0,0,80,16,64,541,0,0,0,0,0,1890,0,2934,1067,3031,0,3031,643,615,28,4114,1,2531,0,0,0,15083,11,409,159,43,0,43,47,39,8,463,0,36,0,0,0,1290,11,148,1,25,0,25,980,907,73,541,1,566,0,46,0,1880,426,114,0,22,0,22,328,281,47,37,1,381,0,46,0,507,421,fiducial_notides_pericirc
0.014,0.5,24543,32,7628,251,1097,487,5970,5162,257,0,257,1788,1515,273,7979,6,361,0,0,0,40587,0,7,1,0,0,0,24,1,23,31,0,0,0,0,0,63,0,1579,227,5085,0,5085,420,400,20,2503,1,4662,0,0,0,14543,1,69,12,153,0,153,15,15,0,108,0,131,0,0,0,494,1,141,8,88,0,88,820,764,56,393,0,552,0,105,0,1643,470,115,1,81,0,81,289,264,25,20,0,361,0,105,0,504,469,fiducial_notides_pericirc
0.017,0.5,22844,28,6978,219,1229,708,4163,4972,23,0,23,1590,1392,198,6265,6,74,0,0,0,39375,42,2,2,0,0,0,23,1,22,25,0,0,0,0,0,55,0,2583,276,3323,0,3323,478,461,17,3363,0,3271,0,0,0,13455,44,113,1,79,0,79,19,18,1,141,0,77,0,0,0,422,5,63,0,227,0,227,935,891,44,324,0,649,0,252,0,1743,707,51,0,215,0,215,442,418,24,15,0,441,0,252,0,710,706,fiducial_notides_pericirc
0.02,0.5,16958,11,6204,230,1357,809,2061,4175,0,0,0,687,599,88,3357,13,8,0,0,0,29868,33,3,0,0,0,0,6,1,5,9,0,0,0,0,0,19,0,2702,267,2123,0,2123,257,254,3,3760,2,2122,0,0,0,12016,126,144,0,49,0,49,7,7,0,181,0,49,0,0,0,456,2,109,0,335,0,335,908,875,33,325,1,658,0,369,0,1790,914,69,0,312,0,312,428,408,20,12,1,428,0,369,0,727,891,fiducial_notides_pericirc
0.03,0.5,8040,2,5837,267,1726,1313,335,2757,0,0,0,24,0,24,424,6,0,0,0,0,15008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3605,77,103,0,103,144,141,3,5629,1,103,0,0,0,11568,7,216,2,0,0,0,5,5,0,265,0,0,0,0,0,525,4,207,2,600,0,600,916,894,22,265,0,767,0,691,0,2137,1311,137,0,589,0,589,587,572,15,12,0,610,0,691,0,1314,1311,fiducial_notides_pericirc
0.0001,1.0,32774,2969,4597,313,36,26,239,23140,435,0,435,485,104,381,1143,2,17,0,0,0,16501,82,170,2392,33,0,33,371,43,328,561,2,14,0,0,0,5455,13,870,3177,424,0,424,0,0,0,1357,0,4,0,0,0,5048,16,58,243,10,0,10,0,0,0,66,0,4,0,0,0,437,16,26,0,4,0,4,1,0,1,6,0,26,0,2,0,39,26,24,0,2,0,2,0,0,0,0,0,24,0,2,0,26,26,fiducial_notides_pericirc
0.0002,1.0,33866,2915,5127,328,1982,1941,458,23430,800,0,800,667,135,532,1895,5,32,0,0,0,20444,115,198,2273,52,0,52,389,37,352,616,5,24,0,0,0,5624,19,830,2907,1276,0,1276,0,0,0,2159,1,4,0,0,0,6693,13,62,236,28,0,28,0,0,0,88,1,4,0,0,0,484,13,1742,0,222,0,222,12,9,3,31,0,1736,0,213,0,2014,1942,1717,0,213,0,213,8,8,0,1,0,1727,0,213,0,1937,1942,fiducial_notides_pericirc
0.0004,1.0,35497,3134,5781,464,388,214,2339,21543,2103,0,2103,1035,261,774,4853,2,667,0,49,0,31131,513,120,2022,275,0,275,715,137,578,793,2,269,0,49,0,6084,118,127,1670,3903,0,3903,0,0,0,2068,1,1876,0,112,0,10667,121,27,167,267,0,267,0,0,0,70,1,115,0,112,0,775,121,294,0,9,0,9,79,38,41,176,0,203,0,7,0,554,208,161,0,7,0,7,46,24,22,6,0,201,0,7,0,219,208,fiducial_notides_pericirc
0.0006,1.0,36565,3806,6324,625,2405,2156,3174,19918,3783,0,3783,1505,424,1081,6008,2,2532,0,15,0,40645,602,441,1928,353,0,353,1081,374,707,1427,2,434,0,15,0,7214,118,167,1538,4554,0,4554,0,0,0,2275,1,2323,0,140,0,12160,145,86,175,363,0,363,0,0,0,130,1,180,0,140,0,1080,145,1687,0,473,0,473,241,205,36,258,0,1675,0,470,0,2612,2170,1523,0,470,0,470,163,146,17,14,0,1672,0,470,0,2144,2156,fiducial_notides_pericirc
0.0008,1.0,37199,4215,6770,733,2519,2437,4311,18058,4864,0,4864,1760,431,1329,7291,1,3718,0,26,0,47027,619,650,1835,369,0,369,1360,383,977,1929,1,424,0,26,0,8053,122,296,1468,4926,0,4926,1,1,0,2006,1,3056,0,181,0,13113,184,192,152,387,0,387,1,1,0,221,1,179,0,181,0,1274,184,1493,0,831,0,831,190,147,43,81,0,1604,0,830,0,2552,2469,1466,0,830,0,830,141,125,16,4,0,1603,0,830,0,2399,2469,fiducial_notides_pericirc
