Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.014,1.0,21073,36,5237,122,2303,1522,3477,3714,213,0,213,1471,1239,232,5223,8,286,0,0,0,33604,0,16,1,0,0,0,19,1,18,35,0,0,0,0,0,71,0,864,207,3464,0,3464,427,407,20,1618,0,3173,0,0,0,9907,4,32,6,78,0,78,6,5,1,51,0,65,0,0,0,240,2,549,5,857,0,857,845,784,61,443,56,953,0,855,0,2977,1528,527,0,826,0,826,169,152,17,14,52,653,0,855,0,1519,1524,fiducial_pisnfarmer19
0.017,1.0,21011,39,4838,106,2510,1787,2965,3810,17,0,17,1303,1147,156,4792,12,55,0,0,0,35732,34,12,9,0,0,0,16,2,14,28,0,0,0,0,0,76,0,1587,246,2411,0,2411,360,343,17,2132,6,2386,0,0,0,9338,56,54,5,34,0,34,8,8,0,67,0,34,0,0,0,203,5,542,0,1007,0,1007,956,916,40,412,71,973,0,1121,0,3090,1920,538,0,960,0,960,289,279,10,11,65,655,0,1121,0,1666,1907,fiducial_pisnfarmer19
0.02,1.0,15929,7,4227,85,2902,2189,1461,3099,0,0,0,627,545,82,2717,19,8,0,0,0,27752,47,0,0,0,0,0,6,0,6,6,0,0,0,0,0,13,0,1539,235,1629,0,1629,213,208,5,2299,13,1630,0,0,0,8133,126,41,2,22,0,22,9,8,1,61,0,22,0,0,0,162,4,651,1,1125,0,1125,1118,1083,35,405,80,1065,0,1425,0,3260,2530,636,0,1084,0,1084,469,458,11,9,75,755,0,1425,0,1871,2506,fiducial_pisnfarmer19
0.03,1.0,7864,2,3593,88,3014,2428,245,2279,0,0,0,20,0,20,363,8,0,0,0,0,14490,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1994,61,101,0,101,131,130,1,3401,19,100,0,0,0,7083,23,62,2,0,0,0,2,2,0,86,1,0,0,0,0,174,2,503,0,1148,0,1148,1361,1334,27,323,119,865,0,1824,0,2973,3050,472,0,1126,0,1126,830,820,10,11,110,593,0,1824,0,1817,3038,fiducial_pisnfarmer19
0.0001,3.0,30074,6727,6426,1414,7256,6680,1754,15193,1386,0,1386,1667,161,1506,4586,1580,266,4,6,0,16286,319,1656,3386,218,0,218,1454,90,1364,3073,801,261,3,6,0,11557,285,1323,2345,2598,0,2598,3,0,3,3380,1641,546,1,84,0,8322,723,740,387,275,0,275,3,0,3,400,387,543,0,84,0,1690,723,3651,0,3553,0,3553,43,29,14,154,3764,3975,2,3125,0,7801,6697,3520,0,3130,0,3130,27,25,2,4,3666,3551,2,3125,0,6659,6695,fiducial_pisnfarmer19
0.0002,3.0,31779,5232,5922,1238,5476,3537,2086,17281,1027,0,1027,1592,148,1444,4554,757,167,0,0,0,18028,213,1851,2156,38,0,38,1179,21,1158,2916,424,159,0,0,0,9514,183,1309,2266,2229,0,2229,8,0,8,3024,738,541,0,23,0,7665,626,710,394,122,0,122,8,0,8,321,179,500,0,23,0,1563,626,3331,0,1985,0,1985,153,70,83,1053,370,3290,0,1131,0,7341,3596,2362,0,1090,0,1090,84,63,21,13,285,2406,0,1118,0,3488,3581,fiducial_pisnfarmer19
0.0004,3.0,31116,6313,6013,1410,4911,3987,3635,13965,1760,0,1760,2235,107,2128,6943,814,768,0,0,0,24907,144,2328,1825,296,0,296,1856,39,1817,4234,482,253,0,0,0,12083,57,679,1017,4123,0,4123,116,2,114,2793,915,2079,0,65,0,10622,643,629,321,354,0,354,105,2,103,390,214,634,0,65,0,2127,643,3198,0,1024,0,1024,683,583,100,686,854,3428,0,795,0,5623,4189,2738,0,763,0,763,486,471,15,33,799,3185,0,769,0,3826,4147,fiducial_pisnfarmer19
0.0006,3.0,32894,5993,6073,1189,8316,6912,4089,14083,3122,0,3122,2482,108,2374,7591,588,2196,1,0,0,34637,140,2574,1321,166,0,166,1925,51,1874,4543,320,128,1,0,0,11625,18,657,900,4310,0,4310,141,17,124,2916,551,2176,0,25,0,11278,467,596,280,188,0,188,125,17,108,428,119,456,0,25,0,1886,466,5732,0,876,0,876,1703,1570,133,1220,475,6407,0,687,0,9542,7065,5002,0,649,0,649,1261,1243,18,56,405,6180,0,676,0,6777,7037,fiducial_pisnfarmer19
0.0008,3.0,32077,6081,5919,1115,5912,3805,4849,11729,3836,0,3836,2577,99,2478,8211,507,3148,0,0,0,37434,114,2686,1229,141,0,141,2021,55,1966,4748,287,104,0,0,0,11881,15,650,806,4202,0,4202,176,23,153,2536,567,2490,1,17,0,11172,363,577,227,161,0,161,149,19,130,520,147,351,1,17,0,1857,363,3159,0,696,0,696,2049,1898,151,1370,464,4198,0,340,0,7947,3863,2248,0,246,0,246,1311,1293,18,61,387,3414,0,330,0,3759,3851,fiducial_pisnfarmer19
0.001,3.0,31216,6121,5865,1109,4319,2435,5440,10945,3611,0,3611,2383,131,2252,8691,581,2843,1,0,0,37609,49,2848,1247,156,0,156,1866,74,1792,4758,309,116,0,0,0,12041,11,579,944,4007,0,4007,239,47,192,2487,670,2330,2,20,0,11179,267,532,225,150,0,150,201,42,159,580,203,284,2,20,0,1937,267,2064,0,418,0,418,1827,1692,135,1270,380,2779,1,264,0,6084,2534,1478,0,144,0,144,813,796,17,70,272,2102,1,263,0,2340,2529,fiducial_pisnfarmer19
