model,CHE,without CE (no detail specified),SMT before and after channel,channel V intrinsic (z=0) other without CE,channel I intrinsic (z=0) classic CE (SMT+CE),channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE,channel V intrinsic (z=0) other with CE,channel V intrinsic (z=0) CE not specified,All intrinsic (z=0) [Gpc^-3 yr^-1],fraction without common envelope,fraction with common envelope,fraction CHE,fraction not specified
Boesky_alphaCE_2_beta0_25,0.000000000000,0.00088800000,0.00000000000,0.00023300000,0.00023300000,0.00554400000,0.25020000000,0.74313500000,0.00000000000,166.77060000000,0.00112100000,0.99911200000,0.000000000000,0.00000000000
Boesky_alphaCE_2_beta0_5,0.000000000000,0.00000000000,0.00000000000,0.00077200000,0.00077200000,0.04581000000,0.17689000000,0.77652800000,0.00000000000,80.03633000000,0.00077200000,1.00000000000,0.000000000000,0.00000000000
Boesky_alphaCE_2_beta0_75,0.000000000000,0.00000000000,0.00000000000,0.00187300000,0.00187300000,0.31739700000,0.11570900000,0.56502100000,0.00000000000,175.78740000000,0.00187300000,1.00000000000,0.000000000000,0.00000000000
Boesky_alphaCE_10_beta0_25,0.000000000000,0.00000000000,0.00000000000,0.05183300000,0.05183300000,0.00000000000,0.34385900000,0.60430800000,0.00000000000,224.12550000000,0.05183300000,1.00000000000,0.000000000000,0.00000000000
Boesky_alphaCE_10_beta0_5,0.000000000000,0.00000000000,0.00000000000,0.07569600000,0.07569600000,0.13659000000,0.13547600000,0.65223800000,0.00000000000,445.09680000000,0.07569600000,1.00000000000,0.000000000000,0.00000000000
Boesky_alphaCE_10_beta0_75,0.000000000000,0.00000000000,0.00000000000,0.03980400000,0.03980400000,0.20834200000,0.13588100000,0.61597300000,0.00000000000,507.43640000000,0.03980400000,1.00000000000,0.000000000000,0.00000000000
Boesky_sigma_30_RMP_D,0.000000000000,0.00000000000,0.00000000000,0.00078100000,0.00078100000,0.04280900000,0.05353200000,0.90287700000,0.00000000000,485.65640000000,0.00078100000,0.99999900000,0.000000000000,0.00000000000
Boesky_sigma_30_RMP_M,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.01826900000,0.03898900000,0.94274200000,0.00000000000,299.51050000000,0.00000000000,1.00000000000,0.000000000000,0.00000000000
Boesky_sigma_30_RMP_R,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.04638100000,0.05569900000,0.89792000000,0.00000000000,351.17700000000,0.00000000000,1.00000000000,0.000000000000,0.00000000000
Boesky_sigma_265_RMP_D,0.000000000000,0.00000085900,0.00000000000,0.00000000000,0.00000000000,0.15284100000,0.03917800000,0.80798000000,0.00000000000,80.04113000000,0.00000085900,0.99999900000,0.000000000000,0.00000000000
Boesky_sigma_265_RMP_M,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.06574000000,0.06387700000,0.87038300000,0.00000000000,58.10322000000,0.00000000000,1.00000000000,0.000000000000,0.00000000000
Boesky_sigma_265_RMP_R,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.11205500000,0.02458400000,0.86336100000,0.00000000000,55.42476000000,0.00000000000,1.00000000000,0.000000000000,0.00000000000
Boesky_sigma_750_RMP_D,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.05821300000,0.07501300000,0.86677300000,0.00000000000,69.44690000000,0.00000000000,0.99999900000,0.000000000000,0.00000000000
Boesky_sigma_750_RMP_M,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.06324500000,0.03174900000,0.90500600000,0.00000000000,53.14658000000,0.00000000000,1.00000000000,0.000000000000,0.00000000000
Boesky_sigma_750_RMP_R,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.05792000000,0.02892800000,0.91315300000,0.00000000000,49.36769000000,0.00000000000,1.00000100000,0.000000000000,0.00000000000
Pellouin25,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.96308724832,0.03691275168,0.00000000000,298.00000000000,0.00000000000,1.00000000000,0.000000000000,0.00000000000
R25-A-Fiducial,0.000000000000,0.00125673250,0.00000000000,0.00000000000,0.99856373430,0.00000000000,0.00017953321,0.00000000000,0.00000000000,111.40000000000,0.00125673250,0.99874326751,0.000000000000,0.00000000000
R25-B-RMAX,0.000000000000,0.00079407094,0.00000000000,0.00000000000,0.99779424740,0.00000000000,0.00141168167,0.00000000000,0.00000000000,113.34000000000,0.00079407094,0.99920592907,0.000000000000,0.00000000000
R25-C-Conv_ML1.5,0.000000000000,0.00204347018,0.00000000000,0.00000000000,0.99665613970,0.00000000000,0.00130039012,0.00000000000,0.00000000000,53.83000000000,0.00204347018,0.99795652982,0.000000000000,0.00000000000
R25-D-Conv_ML1.5_RMAX,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.98790322580,0.01209677419,0.00000000000,0.00000000000,0.00000000000,2.48000000000,0.00000000000,0.99999999999,0.000000000000,0.00000000000
R25-E-Conv_ML1.82_MLTpp,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.99534613150,0.00465386853,0.00000000000,0.00000000000,0.00000000000,17.19000000000,0.00000000000,1.00000000003,0.000000000000,0.00000000000
R25-E-Conv_ML1.82_MLTpp_RMAX,0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.99683544300,0.00316455696,0.00000000000,0.00000000000,0.00000000000,15.80000000000,0.00000000000,0.99999999996,0.000000000000,0.00000000000
R23-A-Fiducial,0.000000000000,0,0.00000000000,0,0.9975371014,2.40E-03,0.00006315124724,0,0,158.35,0.00000000000,1.00000000004,0.000000000000,0.00000000000
R23-B-RMAX2,0.000000000000,0,0.00000000000,0,0.996752451,3.00E-03,0.0002450980392,0,0,163.2,0.00000000000,1.00000000002,0.000000000000,0.00000000000
R23-C-RMAX3,0.000000000000,0,0.00000000000,0,0.9978150962,2.10E-03,0.00008892050507,0,0,157.444,0.00000000000,1.00000000004,0.000000000000,0.00000000000
R23-D-RMAX4,0.000000000000,0,0.00000000000,0,0.9967516488,2.76E-03,0.0004921744266,0,0,101.59,0.00000000000,1.00000000002,0.000000000000,0.00000000000
R23-E-RMAX4B,0.000000000000,0,0.00000000000,0,0.9976272245,0.001748360912,0.0006244146113,0,0,160.15,0.00000000000,1.00000000002,0.000000000000,0.00000000000
