Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.01,0.5,25019,477,6047,514,2760,1186,5725,6204,451,0,451,2130,1602,528,8345,22,25,0,0,0,37131,0,171,197,0,0,0,109,12,97,280,1,0,0,0,0,952,0,2244,849,2246,0,2246,512,470,42,3163,10,1861,0,0,0,11573,0,343,97,32,0,32,41,33,8,391,3,26,0,0,0,1022,0,555,1,308,0,308,1861,1792,69,1424,108,1258,0,43,0,4862,586,441,0,281,0,281,464,456,8,624,107,519,0,43,0,1795,576,
0.014,0.5,21109,53,6007,206,2750,1137,3499,3697,216,0,216,1476,1254,222,5250,8,304,0,0,0,33667,0,17,1,0,0,0,35,1,34,52,0,0,0,0,0,105,0,1033,208,3965,0,3965,515,489,26,1930,7,3630,0,0,0,11423,2,49,7,129,0,129,20,16,4,85,0,114,0,0,0,408,2,595,7,436,0,436,1665,1602,63,1285,147,1320,0,91,0,4892,507,496,0,384,0,384,257,253,4,569,137,477,0,91,0,1787,486,
0.017,0.5,21115,48,5661,170,2953,1301,3007,3810,20,0,20,1347,1196,151,4889,12,62,0,0,0,35935,34,12,9,0,0,0,25,0,25,37,0,0,0,0,0,94,0,1944,246,2781,0,2781,406,385,21,2601,8,2740,0,0,0,10931,61,76,5,71,0,71,11,10,1,95,0,70,0,0,0,330,2,581,0,611,0,611,1756,1702,54,1272,203,1533,0,144,0,5108,788,492,0,493,0,493,316,310,6,560,200,597,0,144,0,1907,694,
0.02,0.5,15964,10,4979,144,3283,1466,1471,3099,0,0,0,640,557,83,2755,20,5,0,0,0,27819,47,0,0,0,0,0,9,1,8,9,0,0,0,0,0,19,0,1843,235,1884,0,1884,242,238,4,2797,16,1884,0,0,0,9564,185,68,2,39,0,39,7,7,0,103,1,39,0,0,0,279,3,715,1,647,0,647,1913,1871,42,1374,242,1727,0,175,0,5361,1191,602,0,508,0,508,356,347,9,666,240,625,0,175,0,2065,866,
0.03,0.5,7865,2,4258,126,3196,1335,245,2279,0,0,0,20,0,20,364,8,0,0,0,0,14492,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2344,61,124,0,124,134,131,3,4043,26,123,0,0,0,8414,19,81,2,0,0,0,5,5,0,124,1,0,0,0,0,247,3,522,0,743,0,743,1929,1907,22,1081,287,1898,0,215,0,5317,1071,375,0,558,0,558,402,396,6,433,280,687,0,215,0,1708,962,
0.0001,1.0,26119,4444,4017,919,1347,1181,365,15034,420,0,420,566,126,440,1391,561,9,1,0,0,10425,37,336,3491,76,0,76,490,83,407,942,437,9,1,0,0,7434,10,866,2423,547,0,547,0,0,0,1526,580,0,0,0,0,4209,3,390,465,18,0,18,0,0,0,454,399,0,0,0,0,1221,3,827,0,504,0,504,8,8,0,839,622,506,0,0,0,1805,878,752,0,421,0,421,6,6,0,758,581,423,0,0,0,1481,878,
0.0002,1.0,28480,3167,4765,799,3313,2216,577,17029,688,0,688,705,129,576,1970,440,15,0,0,0,13107,34,444,2168,49,0,49,495,58,437,984,294,13,0,0,0,5676,3,876,2356,1412,0,1412,0,0,0,2343,428,2,0,0,0,5956,6,269,483,36,0,36,0,0,0,314,225,2,0,0,0,1206,6,2328,0,690,0,690,286,284,2,2583,146,728,0,0,0,5482,1130,1563,0,436,0,436,216,216,0,1742,105,474,0,0,0,3344,1084,
0.0004,1.0,27491,3690,5179,996,2776,2207,1958,13800,1501,0,1501,938,195,743,3797,426,680,0,0,0,18590,91,639,1865,391,0,391,779,148,631,1473,277,351,0,0,0,6930,6,192,1094,3804,0,3804,1,1,0,2347,378,1682,0,0,0,9637,9,137,397,448,0,448,1,1,0,215,124,384,0,0,0,1919,8,2151,0,398,0,398,220,178,42,2315,166,459,0,0,0,4653,888,1737,0,341,0,341,129,126,3,1805,131,402,0,0,0,3538,874,
0.0006,1.0,29714,3803,5768,873,5550,4281,2600,13928,2974,0,2974,1318,352,966,4822,330,2164,0,0,0,29090,115,1034,1336,322,0,322,1096,338,758,2160,203,306,0,0,0,7206,4,260,965,4475,0,4475,1,1,0,2781,268,1969,0,0,0,11203,7,205,344,321,0,321,1,1,0,268,34,261,0,0,0,1718,5,4205,0,659,0,659,680,647,33,4715,182,833,0,0,0,9846,1229,3351,0,568,0,568,362,359,3,3552,149,729,0,0,0,7377,1176,
0.0008,1.0,29152,4056,5896,951,3155,1420,3395,11574,3768,0,3768,1514,353,1161,5681,247,3093,0,0,0,32147,97,1182,1248,332,0,332,1285,340,945,2495,176,313,0,0,0,7783,1,395,872,4537,0,4537,3,3,0,2406,289,2551,0,0,0,11536,9,323,292,330,0,330,3,3,0,378,73,281,0,0,0,1882,9,1716,0,485,0,485,945,905,40,2025,177,1115,0,11,0,6040,254,693,0,167,0,167,560,558,2,826,139,583,0,11,0,2598,242,
0.001,1.0,28500,4219,6003,1186,2655,962,3924,10899,3557,0,3557,1386,339,1047,6175,287,2793,0,0,0,32495,41,1371,1258,372,0,372,1207,328,879,2620,210,341,0,0,0,8188,0,624,977,4285,0,4285,13,11,2,2466,382,2479,0,0,0,11767,10,595,258,315,0,315,13,11,2,651,106,277,0,0,0,2350,9,1156,0,281,0,281,1207,1169,38,1545,180,1058,0,46,0,4952,338,457,0,95,0,95,410,406,4,617,146,299,0,46,0,1624,299,
0.002,1.0,28496,5248,6853,1836,2877,629,4827,11484,2807,0,2807,1439,265,1174,7228,127,1929,0,0,0,37016,47,2682,1172,363,0,363,1022,117,905,3721,90,355,0,0,0,10255,0,1383,1004,4202,0,4202,151,140,11,2861,110,2887,0,0,0,13404,32,1285,204,201,0,201,145,135,10,1456,44,176,0,0,0,3635,31,728,0,274,0,274,1863,1794,69,1200,131,1634,1,35,0,5504,229,180,0,41,0,41,408,395,13,261,106,333,1,35,0,1033,225,
0.004,1.0,28790,6142,6636,1830,3708,923,6991,9264,2484,0,2484,2056,1155,901,11408,48,195,0,0,0,37825,6,4965,209,67,0,67,899,459,440,5869,17,64,0,0,0,12236,0,2348,1393,2442,0,2442,368,289,79,3512,34,1660,0,0,0,13051,3,1247,209,73,0,73,301,230,71,1554,22,67,0,0,0,3655,1,722,0,416,0,416,2565,2467,98,1544,152,2132,0,29,0,6745,663,201,0,130,0,130,592,586,6,329,130,565,0,29,0,1236,610,
0.006,1.0,27580,3038,5938,1295,4079,1179,6332,9876,580,0,580,2159,1313,846,9117,26,7,0,0,0,37562,0,2613,130,0,0,0,292,76,216,2907,9,0,0,0,0,6067,0,2419,1382,1725,0,1725,363,328,35,3160,26,1363,0,0,0,11701,0,990,156,17,0,17,132,111,21,1127,14,12,0,0,0,2585,0,803,0,515,0,515,2759,2676,83,1961,95,2087,0,30,0,7093,1061,254,0,216,0,216,709,704,5,563,62,586,0,30,0,1347,1011,
0.008,1.0,25945,1250,5691,475,4137,1004,6388,5901,1272,0,1272,2513,1803,710,10203,50,23,0,0,0,33365,0,1068,80,0,0,0,101,6,95,1169,5,0,0,0,0,2497,0,1846,1125,2125,0,2125,515,473,42,2753,5,1749,0,0,0,11097,1,254,134,18,0,18,68,52,16,327,1,14,0,0,0,946,1,771,0,595,0,595,2766,2684,82,1737,124,2330,0,66,0,7213,1052,218,0,216,0,216,570,565,5,363,102,575,0,66,0,1086,922,
0.01,1.0,25083,369,5397,307,3671,1018,5716,6204,506,0,506,2148,1606,542,8388,23,46,0,0,0,37259,0,142,197,0,0,0,30,0,30,172,0,0,0,0,0,737,0,1936,849,1969,0,1969,450,409,41,2716,9,1658,0,0,0,10282,0,156,97,27,0,27,27,20,7,188,1,22,0,0,0,614,0,505,1,774,0,774,2356,2275,81,1319,166,2198,0,119,0,6445,825,189,0,375,0,375,454,449,5,384,148,515,0,119,0,1237,798,
0.014,1.0,21071,36,5237,122,3924,965,3477,3697,213,0,213,1471,1239,232,5230,8,286,0,0,0,33596,0,16,1,0,0,0,19,1,18,35,0,0,0,0,0,71,0,863,208,3464,0,3464,427,407,20,1617,0,3173,0,0,0,9908,3,31,7,78,0,78,6,5,1,50,0,65,0,0,0,241,1,512,7,886,0,886,2472,2411,61,1099,155,2663,0,108,0,6902,845,163,0,312,0,312,490,484,6,231,134,626,0,108,0,1177,752,
0.017,1.0,21011,39,4835,103,4176,1026,2965,3810,17,0,17,1303,1147,156,4792,12,55,0,0,0,35732,34,12,9,0,0,0,16,2,14,28,0,0,0,0,0,76,0,1584,246,2411,0,2411,360,343,17,2131,6,2384,0,0,0,9335,53,51,5,34,0,34,8,8,0,66,0,32,0,0,0,200,2,524,0,1044,0,1044,2603,2560,43,1102,173,2955,0,115,0,7045,1297,183,0,381,0,381,462,455,7,230,150,681,0,115,0,1108,943,
0.02,1.0,15929,7,4227,85,4501,1347,1461,3099,0,0,0,627,545,82,2717,19,8,0,0,0,27752,47,0,0,0,0,0,6,0,6,6,0,0,0,0,0,13,0,1539,235,1629,0,1629,213,208,5,2299,13,1630,0,0,0,8133,126,41,2,22,0,22,9,8,1,61,0,22,0,0,0,162,4,657,1,1148,0,1148,2688,2653,35,1261,178,3119,0,114,0,7098,1890,264,0,460,0,460,623,616,7,334,155,899,0,114,0,1352,1341,
0.03,1.0,7864,2,3593,88,4053,914,245,2279,0,0,0,20,0,20,363,8,0,0,0,0,14490,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1994,61,101,0,101,131,130,1,3401,19,100,0,0,0,7083,23,62,2,0,0,0,2,2,0,86,1,0,0,0,0,174,2,472,0,1143,0,1143,2436,2412,24,891,289,2939,0,221,0,6863,1238,172,0,320,0,320,422,417,5,199,252,494,0,221,0,1047,780,
0.0001,3.0,29469,6824,6286,1292,16874,15366,1739,15034,1317,0,1317,1643,153,1490,4716,1559,34,5,0,0,16319,38,1654,3491,229,0,229,1436,89,1347,3298,830,33,4,0,0,11975,5,1149,2423,2550,0,2550,10,8,2,3733,1677,62,1,0,0,8783,4,566,465,242,0,242,10,8,2,767,422,60,1,0,0,2180,4,8086,0,6461,0,6461,2317,2228,89,9875,7091,6997,6,0,0,27813,5919,7749,0,5552,0,5552,2062,1985,77,9278,6753,6088,6,0,0,24806,5919,
0.0002,3.0,31129,5253,5829,1156,12260,8361,2104,17029,941,0,941,1573,139,1434,4608,784,26,0,0,0,17886,34,1853,2168,49,0,49,1174,25,1149,3070,444,13,0,0,0,9734,1,1139,2356,2213,0,2213,15,9,6,3343,812,66,0,0,0,8122,2,540,483,114,0,114,15,9,6,651,252,22,0,0,0,2028,2,6557,0,2870,0,2870,2823,2614,209,8741,1120,3517,2,0,0,19009,5495,5001,0,1092,0,1092,2266,2136,130,6624,1001,1737,2,0,0,11575,5143,
