Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.017,3.0,21450,28,3386,96,2952,1971,3244,4267,22,0,22,1025,888,137,4756,11,73,0,0,0,36524,39,9,5,0,0,0,12,6,6,20,0,1,0,0,0,51,3,776,280,1704,0,1704,450,442,8,1338,4,1694,0,0,0,6468,35,28,6,29,0,29,32,32,0,58,0,32,0,0,0,185,6,1,3,1392,0,1392,1552,1526,26,73,125,855,0,2017,0,3045,2850,0,0,1089,0,1089,882,878,4,9,66,55,0,1907,0,1209,2733,fiducial_fmtbse
0.02,3.0,16020,5,3090,52,3178,2186,1341,3479,2,0,2,470,399,71,2424,16,12,0,0,0,27805,51,0,0,0,0,0,4,4,0,4,0,0,0,0,0,5,4,1050,290,1121,0,1121,208,205,3,1613,4,1124,0,0,0,5861,64,24,2,16,0,16,3,3,0,34,0,16,0,0,0,98,4,0,0,1428,0,1428,1744,1723,21,83,176,841,0,2248,0,3054,3289,0,0,1117,0,1117,1069,1065,4,4,89,107,0,2075,0,1291,3081,fiducial_fmtbse
0.03,3.0,8037,2,2618,51,3400,2495,295,2406,0,0,0,20,0,20,409,8,0,0,0,0,14833,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1402,153,32,0,32,126,126,0,2402,12,32,0,0,0,5141,12,29,6,0,0,0,2,2,0,44,1,1,0,0,0,98,3,3,2,1450,0,1450,1943,1923,20,93,225,587,0,2716,0,2637,4158,3,0,1049,0,1049,1443,1441,2,3,107,88,0,2404,0,1196,3794,fiducial_fmtbse
0.0001,5.0,27382,5128,6837,1542,13025,12093,2580,11412,1631,0,1631,2023,138,1885,6190,1836,95,6,0,0,12735,37,2379,752,236,0,236,1752,71,1681,4286,767,88,5,0,0,8837,15,1311,1522,3511,0,3511,356,309,47,4642,2198,545,1,60,0,9877,575,792,136,264,0,264,344,300,44,826,752,520,0,60,0,2123,575,6748,0,5828,0,5828,440,338,102,202,5584,7597,46,5224,0,13736,12293,6705,0,5072,0,5072,314,301,13,30,5416,6841,46,5222,0,11885,12289,fiducial_fmtbse
0.0002,5.0,29673,5209,5945,1601,8672,6634,3244,14117,972,0,972,1858,149,1709,6051,866,39,0,0,0,16127,39,2943,810,45,0,45,1405,13,1392,4380,406,17,0,0,0,9383,16,1463,1282,2719,0,2719,385,307,78,4078,1510,477,0,44,0,8479,423,943,106,187,0,187,361,295,66,1071,785,380,0,44,0,2441,423,5163,0,2702,0,2702,800,591,209,650,1294,6291,6,1729,0,10210,7117,4828,0,1251,0,1251,554,512,42,73,1205,5044,6,1517,0,6362,6897,fiducial_fmtbse
0.0004,5.0,29277,6769,6056,1912,8353,7052,5377,10500,1840,0,1840,2267,145,2122,8696,965,867,0,0,0,22851,97,4193,635,213,0,213,1724,48,1676,5972,468,161,0,0,0,12623,19,1003,214,4057,0,4057,711,542,169,4153,1606,1605,0,28,0,11197,227,980,62,235,0,235,635,507,128,1576,762,246,0,28,0,3502,227,5554,0,1425,0,1425,1367,1139,228,903,1716,5813,8,1635,0,8981,7715,5146,0,901,0,901,1004,975,29,140,1500,5349,7,1563,0,6473,7629,fiducial_fmtbse
0.0006,5.0,31183,7700,6885,2774,7895,6324,6150,10559,3044,0,3044,2536,249,2287,9559,649,2265,1,0,0,32672,152,4864,1011,72,0,72,1748,108,1640,6642,290,46,0,0,0,14744,30,1538,142,3966,0,3966,1177,1001,176,5026,1431,1660,2,4,0,13193,152,1494,114,143,0,143,1023,888,135,2516,904,140,0,4,0,5288,152,5764,0,763,0,763,1363,1144,219,1200,786,5801,1,892,0,8935,6833,5124,0,275,0,275,925,900,25,160,598,5312,1,852,0,5863,6780,fiducial_fmtbse
0.0008,5.0,30437,7900,7002,2769,4886,3261,6348,8621,3852,0,3852,2716,317,2399,9831,562,3181,1,0,0,35294,128,5062,909,86,0,86,1840,166,1674,6942,265,49,0,0,0,15239,33,1385,127,3776,0,3776,1635,1434,201,4919,1304,1889,0,0,0,13573,114,1358,100,121,0,121,1189,1053,136,2569,811,100,0,0,0,5397,114,2804,0,628,0,628,1446,1211,235,877,550,3467,2,538,0,6191,3564,2465,0,123,0,123,673,642,31,149,381,2576,2,536,0,2960,3558,fiducial_fmtbse
0.001,5.0,29620,7987,7457,3007,4662,3334,6546,8212,3578,0,3578,2553,383,2170,9916,622,2859,2,0,0,35286,66,5278,919,95,0,95,1694,191,1503,7008,274,60,0,0,0,15505,28,1687,157,3613,0,3613,1907,1681,226,5440,1551,1779,1,0,0,14538,77,1613,127,110,0,110,1156,1023,133,2794,960,86,1,0,0,5924,77,2981,0,412,0,412,1260,1059,201,754,545,3564,3,338,0,5848,3461,2711,0,98,0,98,525,498,27,143,367,2855,3,336,0,3211,3457,fiducial_fmtbse
0.002,5.0,28259,6816,6752,2276,4575,3059,7319,7628,2701,0,2701,2674,1041,1633,10733,281,2043,0,0,0,36808,98,4908,965,40,0,40,902,167,735,5838,120,13,0,0,0,13379,45,1767,164,3182,0,3182,1530,1311,219,4584,1010,1903,0,0,0,13156,54,1403,69,67,0,67,737,630,107,2163,670,44,0,0,0,4497,53,2369,0,577,0,577,1620,1465,155,493,395,3634,0,440,0,5831,3302,2282,0,141,0,141,636,621,15,77,323,2588,0,394,0,2870,3248,fiducial_fmtbse
0.004,5.0,29136,2044,4729,1157,2744,848,10252,6148,2417,0,2417,2331,1320,1011,14037,70,1028,0,0,0,38545,64,1648,179,3,0,3,214,73,141,1861,12,4,0,0,0,4037,45,1439,211,1542,0,1542,1454,1325,129,3314,216,1133,0,0,0,9158,59,807,35,18,0,18,297,254,43,1113,107,9,0,0,0,2252,57,175,0,845,0,845,1720,1619,101,530,153,1433,0,778,0,4053,1427,75,0,196,0,196,577,568,9,69,90,286,0,493,0,621,1075,fiducial_fmtbse
0.006,5.0,27623,477,3437,447,2748,741,8924,7271,608,0,608,2194,1374,820,11524,26,248,0,0,0,37788,26,165,213,0,0,0,98,57,41,260,0,3,0,0,0,926,26,903,301,905,0,905,1282,1229,53,2362,68,741,0,0,0,6685,46,318,22,8,0,8,99,86,13,419,25,6,0,0,0,848,42,119,0,1005,0,1005,1622,1542,80,461,82,1191,0,1095,0,3852,1641,19,0,248,0,248,474,464,10,37,31,111,0,593,0,445,1037,fiducial_fmtbse
0.008,5.0,26716,268,2850,145,2452,616,7824,5587,1397,0,1397,2041,1368,673,10992,50,319,0,0,0,34912,18,98,121,0,0,0,48,43,5,143,0,3,0,0,0,516,18,432,215,1093,0,1093,1034,1002,32,1674,18,897,0,0,0,5417,59,34,24,6,0,6,81,77,4,114,0,7,0,0,0,236,54,45,0,1000,0,1000,1402,1341,61,241,91,1144,0,1063,0,3358,1537,3,0,211,0,211,402,398,4,15,41,83,0,518,0,327,905,fiducial_fmtbse
0.01,5.0,25676,445,2687,210,2628,856,6813,6053,601,0,601,1707,1230,477,8890,21,288,0,0,0,38415,15,224,187,0,0,0,34,31,3,255,0,3,0,0,0,874,15,317,273,1056,0,1056,856,822,34,1410,6,830,0,0,0,4864,65,31,50,17,0,17,112,110,2,148,0,12,0,0,0,364,56,18,1,1207,0,1207,1367,1307,60,167,84,1157,0,1269,0,3397,1788,0,0,370,0,370,486,482,4,10,36,51,0,795,0,450,1262,fiducial_fmtbse
0.014,5.0,20500,15,3540,99,2541,712,2864,4316,233,0,233,893,675,218,4026,7,300,0,0,0,32393,3,3,6,0,0,0,6,3,3,9,0,0,0,0,0,26,3,332,271,2166,0,2166,513,502,11,1074,2,1956,0,0,0,6494,33,10,4,41,0,41,43,43,0,60,0,35,0,0,0,176,21,3,3,1195,0,1195,1293,1263,30,78,83,1016,0,1397,0,2985,1997,0,0,270,0,270,442,438,4,9,31,40,0,663,0,342,1082,fiducial_fmtbse
0.017,5.0,21413,24,3013,98,2752,833,3219,4267,31,0,31,1012,877,135,4707,11,85,0,0,0,36450,40,9,5,0,0,0,8,6,2,16,0,1,0,0,0,42,4,708,280,1410,0,1410,455,449,6,1259,4,1400,0,0,0,5738,28,25,6,26,0,26,39,39,0,62,0,30,0,0,0,182,13,1,3,1333,0,1333,1411,1387,24,74,106,953,0,1718,0,3034,2462,0,0,311,0,311,522,520,2,9,36,54,0,770,0,402,1264,fiducial_fmtbse
0.02,5.0,16031,8,2691,49,3050,923,1339,3479,22,0,22,464,394,70,2415,16,32,0,0,0,27807,70,0,0,0,0,0,7,7,0,7,0,0,0,0,0,9,6,948,290,886,0,886,210,207,3,1453,5,885,0,0,0,5094,37,20,2,13,0,13,7,7,0,34,0,13,0,0,0,90,7,0,0,1385,0,1385,1659,1640,19,84,187,917,0,2043,0,3005,3082,0,0,328,0,328,595,593,2,4,64,88,0,831,0,443,1403,fiducial_fmtbse
0.03,5.0,8037,3,2318,41,3145,798,295,2406,0,0,0,19,0,19,409,8,0,0,0,0,14832,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,5,1,1255,153,9,0,9,127,127,0,2126,8,8,0,0,0,4544,14,27,6,0,0,0,1,1,0,35,0,0,0,0,0,80,1,3,2,1396,0,1396,1742,1724,18,90,235,792,0,2259,0,2913,3372,3,0,266,0,266,529,529,0,3,66,73,0,722,0,355,1241,fiducial_fmtbse
