Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.01,0.5,26808,763,5867,471,843,167,6866,6265,504,0,504,2088,1506,582,9479,263,33,0,0,0,39738,0,356,328,0,0,0,79,10,69,435,17,0,0,0,0,1525,0,2052,846,2233,0,2233,514,477,37,2995,326,1836,4,0,0,11158,10,266,123,39,0,39,41,31,10,315,25,33,0,0,0,926,10,51,5,6,0,6,741,655,86,500,101,288,4,10,0,1457,136,40,0,6,0,6,121,99,22,30,47,127,4,10,0,197,134,fiducial_notides
0.014,0.5,22879,36,5698,186,792,210,4652,3848,177,0,177,1397,1141,256,6251,104,250,1,0,0,36511,0,6,1,0,0,0,29,0,29,35,5,0,0,0,0,71,0,1113,183,3733,0,3733,349,312,37,1844,186,3409,4,0,0,10777,0,54,7,108,0,108,15,13,2,87,4,92,0,0,0,367,0,44,11,30,0,30,655,583,72,369,71,328,6,34,0,1273,195,33,0,28,0,28,147,127,20,16,41,160,6,34,0,220,194,fiducial_notides
0.017,0.5,21749,28,5193,147,785,287,3267,3763,24,0,24,1245,1066,179,4935,100,58,1,0,0,36553,9,3,1,0,0,0,23,0,23,26,3,0,0,0,0,55,0,1832,234,2469,0,2469,384,349,35,2447,231,2436,7,0,0,10067,31,69,1,57,0,57,15,12,3,90,3,56,0,0,0,285,4,29,0,75,0,75,677,616,61,338,73,363,3,80,0,1275,286,21,0,75,0,75,191,173,18,12,48,195,3,80,0,295,278,fiducial_notides
0.02,0.5,16390,15,4730,151,808,321,1543,3206,1,0,1,549,469,80,2615,124,19,0,0,0,28223,19,5,0,0,0,0,8,1,7,13,1,0,0,0,0,27,0,1865,227,1714,0,1714,210,192,18,2725,254,1713,6,0,0,9164,94,85,2,43,0,43,6,5,1,106,2,43,0,0,0,300,2,43,0,103,0,103,657,607,50,303,76,387,3,113,0,1190,415,31,0,99,0,99,191,177,14,8,49,200,3,113,0,251,390,fiducial_notides
0.03,0.5,7979,2,4139,123,878,467,265,2085,0,0,0,27,0,27,372,45,0,0,0,0,14577,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2408,63,122,0,122,108,99,9,3914,305,123,1,0,0,8170,4,89,1,0,0,0,2,1,1,121,6,1,0,0,0,243,2,103,1,183,0,183,588,544,44,278,104,388,11,208,0,1285,464,73,0,180,0,180,214,197,17,9,80,250,11,208,0,473,461,fiducial_notides
0.0001,1.0,29052,2710,4063,676,308,169,394,17403,760,0,760,541,129,412,1696,925,49,4,0,0,14057,91,339,1840,39,0,39,440,69,371,821,450,47,4,0,0,4800,38,917,2412,521,0,521,0,0,0,1532,810,50,0,0,0,4543,62,424,194,14,0,14,0,0,0,432,436,50,0,0,0,742,62,191,0,111,0,111,1,0,1,76,224,178,16,51,0,439,169,118,0,51,0,51,0,0,0,0,124,118,6,51,0,169,169,fiducial_notides
0.0002,1.0,30762,2648,5010,501,4501,4108,590,17626,1813,0,1813,776,193,583,3121,1905,96,5,5,0,18253,120,311,1727,83,0,83,513,82,431,828,494,86,5,5,0,4955,48,800,2216,1832,0,1832,0,0,0,2578,1365,145,3,3,0,7005,49,244,179,61,0,61,0,0,0,263,267,56,1,3,0,632,49,3456,0,1030,0,1030,7,5,2,281,2342,3300,92,916,0,4884,4104,3184,0,919,0,919,3,3,0,3,2054,3189,77,916,0,4108,4104,fiducial_notides
0.0004,1.0,31860,2895,5197,558,972,293,1924,16490,2542,0,2542,1052,273,779,4837,1511,716,1,33,0,26541,394,275,1557,264,0,264,779,180,599,1047,428,257,0,33,0,5460,83,91,1327,3681,0,3681,0,0,0,2090,805,1522,9,198,0,9520,210,17,133,396,0,396,0,0,0,59,143,168,4,198,0,874,210,721,0,179,0,179,66,35,31,561,628,355,30,52,0,1649,281,220,0,53,0,53,20,13,7,12,171,229,8,52,0,304,281,fiducial_notides
0.0006,1.0,32677,3323,5549,515,1755,1245,2686,15350,3745,0,3745,1389,356,1033,5748,1561,2135,1,9,0,34270,401,573,1433,257,0,257,1044,321,723,1591,451,288,0,9,0,6264,58,128,1211,4122,0,4122,0,0,0,2359,914,1820,11,98,0,10670,104,67,132,311,0,311,0,0,0,120,68,165,4,98,0,905,104,1294,0,234,0,234,221,190,31,476,523,1085,11,191,0,2236,1253,941,0,191,0,191,113,108,5,14,249,1040,4,191,0,1241,1243,fiducial_notides
0.0008,1.0,33044,3619,5790,627,1310,1097,3543,14109,4355,0,4355,1542,352,1190,6512,1426,2997,1,7,0,38882,385,718,1396,288,0,288,1206,322,884,1907,422,308,0,7,0,6914,42,224,1145,4310,0,4310,3,3,0,2058,858,2383,10,124,0,11190,134,150,117,350,0,350,3,3,0,196,94,190,3,124,0,1113,133,830,1,289,0,289,181,131,50,172,295,868,9,262,0,1473,1123,732,0,262,0,262,103,98,5,7,168,828,3,262,0,1070,1123,fiducial_notides
0.001,1.0,33170,3830,6102,1023,1214,990,4047,14351,3941,0,3941,1476,363,1113,6911,1266,2624,4,12,0,40765,139,991,1361,304,0,304,1161,313,848,2125,395,329,2,12,0,7374,54,562,1235,4175,0,4175,10,9,1,2338,902,2301,6,135,0,11799,160,517,129,356,0,356,10,9,1,542,123,217,1,135,0,1872,160,624,0,221,0,221,361,316,45,154,231,848,6,205,0,1321,1080,535,0,200,0,200,255,250,5,3,125,782,4,205,0,897,1080,fiducial_notides
0.002,1.0,32245,5193,6799,1423,1686,952,6022,12905,3254,0,3254,1591,417,1174,8969,1120,1973,6,1,0,43280,125,2783,1109,305,0,305,984,149,835,3725,364,357,2,1,0,10126,57,987,1244,4290,0,4290,145,137,8,2479,1027,2923,4,39,0,13091,216,893,131,254,0,254,141,134,7,902,160,351,0,39,0,2622,215,692,0,249,0,249,734,657,77,354,205,1076,9,246,0,2409,939,632,0,230,0,230,90,75,15,14,103,692,7,246,0,964,939,fiducial_notides
0.004,1.0,32558,6413,7021,1996,2162,1153,9737,8614,3355,0,3355,2367,1398,969,15105,1128,425,5,0,0,44196,9,5019,463,72,0,72,857,434,423,5887,234,62,0,0,0,12793,0,2269,1299,3029,0,3029,321,229,92,2691,1110,2825,7,121,0,12698,1054,1407,141,184,0,184,262,184,78,767,230,967,1,121,0,2931,1054,683,0,332,0,332,1141,1036,105,560,193,1264,11,334,0,3199,1115,625,0,311,0,311,216,193,23,40,106,779,9,334,0,1193,1112,fiducial_notides
0.006,1.0,30439,3211,5654,1193,2261,1229,7597,10784,728,0,728,2189,1289,900,10475,713,94,5,0,0,42155,0,2609,324,15,0,15,260,69,191,2871,98,15,1,0,0,6414,0,2012,1316,1938,0,1938,335,292,43,2775,782,1522,4,1,0,11062,16,826,157,78,0,78,132,102,30,964,129,71,0,1,0,2368,15,714,0,390,0,390,1154,1041,113,720,222,1147,13,393,0,3334,1184,654,0,379,0,379,195,166,29,45,132,791,12,393,0,1274,1183,fiducial_notides
0.008,1.0,28319,1463,5562,463,2226,1259,8182,5976,1330,0,1330,2440,1669,771,11909,454,91,0,0,0,37210,0,1274,97,4,0,4,87,1,86,1361,23,4,0,0,0,2924,0,1631,1140,2215,0,2215,487,442,45,2591,403,1761,3,0,0,10811,6,216,159,23,0,23,63,47,16,287,20,17,0,0,0,919,5,684,0,436,0,436,1099,992,107,638,228,1127,16,457,0,3212,1229,637,0,415,0,415,205,178,27,31,145,771,16,457,0,1291,1225,fiducial_notides
