model,link to paper ,year,code,code_abbr,stellar_tracks,label_1,label_2,label_3,label_4,label_author,sigma,sigma_strippedSN,sigma extra,alpha,alpha extra ,beta,CE optimistic/pessimistic,CE prescription,lambda,RMP,RMP extra,PISN prescription,stability ,non-conservativeness AM loss ,Eddington limited accretion CO,f_WR
B22-P-sigma:100,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\sigma = 100$, , , ,BRO22,100,100,Hobbs 2005,1,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-Q-sigma:30,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$\sigma = 30$, , , ,BRO22,30,30,Hobbs 2005,1,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-R-noBHkick,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,no BH kick, , , ,BRO22,0,0,Hobbs 2005,1,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-S-fWR:0-1,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$f_{WR} = 0.1$, ,  ,  ,BRO22,265,30,Hobbs 2005,1,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B22-T-fWR:5,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,2022,COMPAS,COMP,SSE,$f_{WR} = 5$, , , ,BRO22,265,30,Hobbs 2005,1,,thermal,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,TRUE,
B21-alpha0-2,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$\alpha = 0.2$, , , ,BA21,265,,Hobbs 2005,0.2,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-alpha0-35,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$\alpha = 0.35$, , , ,BA21,265,,Hobbs 2005,0.35,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-alpha0-5,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$\alpha = 0.5$, , , ,BA21,265,,Hobbs 2005,0.5,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-alpha0-75,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$\alpha = 0.75$, , , ,BA21,265,,Hobbs 2005,0.75,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-alpha1,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$\alpha = 1$, , , ,BA21,265,,Hobbs 2005,1,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-alpha2,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$\alpha = 2$, , , ,BA21,265,,Hobbs 2005,2,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-alpha5,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$\alpha = 5$, , , ,BA21,265,,Hobbs 2005,5,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-eddington-1E3,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$10^3 \times \dot{m}_{\rm{E}}$ , , , ,BA21,265,,Hobbs 2005,1,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,adjusted,
