model,link to paper ,year,code,code_abbr,stellar_tracks,label_1,label_2,label_3,label_4,label_author,sigma,sigma_strippedSN,sigma extra,alpha,alpha extra ,beta,CE optimistic/pessimistic,CE prescription,lambda,RMP,RMP extra,PISN prescription,stability ,non-conservativeness AM loss ,Eddington limited accretion CO,f_WR
B21-eddington-1E5,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$10^6 \times \dot{m}_{\rm{E}}$ , , , ,BA21,265,,Hobbs 2005,1,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,adjusted,
B21-eddington-1E9,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,$10^9 \times \dot{m}_{\rm{E}}$ , , , ,BA21,265,,Hobbs 2005,1,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,adjusted,
B21-noRLOFatZAMS,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,no MT ZAMS, , , ,BA21,265,,Hobbs 2005,1,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-logU-SanaPrior,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,logU prior, , , ,BA21,265,,Hobbs 2005,1,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-logU-noRLOFatZAMS,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,logU prior,no MT ZAMS, , ,BA21,265,,Hobbs 2005,1,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-qcrit-Claeys,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,Claeys $q_{\rm{crit}}$, , , ,BA21,265,,Hobbs 2005,1,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
B21-qcrit-Belczynski,https://arxiv.org/pdf/2010.16333,2021,POSYDON,POSY,MESA,Belcz $q_{\rm{crit}}$, ,  ,  ,BA21,265,,Hobbs 2005,1,,,pessimistic,standard,,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),"The stability of Roche-lobe overflow mass transfer is determined by the rate at which the Roche-lobe radius is changing as a result of mass-transfer d log(RL)/d log(m) to the response of the radius of a star as its mass is changing d log(R∗)/d log(m). We use the approximation of Eggleton (1983) for the Roche-lobe radius while we approximate the radial response of the star depending on its stellar type. We adopt the values assumed in Neijssel et al. (2019); Bavera et al. (2020). The stability of the mass transfer can then be determined by solving this equation with respect to the critical mass ratio, defined as qcrit = mdonor/maccretor. For MS stars we use d log(R∗)/d log(m) = 2.0 which correspond to qcrit ' 1.72 while for HG stars d log(R∗)/d log(m) = 6.5 which correspond to qcrit ' 3.83 (Ge et al. 2015). For stars on the GB and AGB we use fits from Hjellming & Webbink (1987). For stripped stars we adopt qcrit as in Claeys et al. (2014). Different choices of qcrit, especially for GB and AGB stars have an impact on the parameter space that leads to the formation of BBHs, hence on the merger rate, see Sec. 4.3 for a discussion of this uncertainty.",Hurley (2002) AM of accretor ,TRUE,
RG21-SN:N20,https://ui.adsabs.harvard.edu/abs/2021ApJ...912L..23R/abstract,2021,POSYDON,POSY,MESA,N20 SN, , , ,RG21,  ,,Hobbs 2005,  ,,,,,,  ,,,,,,
RG21-SN:rapid,https://ui.adsabs.harvard.edu/abs/2021ApJ...912L..23R/abstract,2021,POSYDON,POSY,MESA,rapid SN, , , ,RG21, ,,Hobbs 2005, ,,,,,, ,,,,,,
RG21-SN:delayed,https://ui.adsabs.harvard.edu/abs/2021ApJ...912L..23R/abstract,2021,POSYDON,POSY,MESA,delayed SN, , , ,RG21, ,,Hobbs 2005, ,,,,,, ,,,,,,
RG21-ESCN:Full-SN:N20,https://ui.adsabs.harvard.edu/abs/2021ApJ...912L..23R/abstract,2021,POSYDON,POSY,MESA,N20 SN,Full ECSN, , ,RG21, ,,Hobbs 2005, ,,,,,, ,,,,,,
RG21-ESCN:Full-SN:rapid,https://ui.adsabs.harvard.edu/abs/2021ApJ...912L..23R/abstract,2021,POSYDON,POSY,MESA,rapid SN,Full ECSN, , ,RG21, ,,Hobbs 2005, ,,,,,, ,,,,,,
RG21-ECSN:Full-SN:delayed,https://ui.adsabs.harvard.edu/abs/2021ApJ...912L..23R/abstract,2021,POSYDON,POSY,MESA,delayed SN,Full ECSN, , ,RG21, ,,Hobbs 2005, ,,,,,, ,,,,,,
RG21-noBHkick-SN:N20,https://ui.adsabs.harvard.edu/abs/2021ApJ...912L..23R/abstract,2021,POSYDON,POSY,MESA,N20 SN,no BH kick , , ,RG21, ,,Hobbs 2005, ,,,,,, ,,,,,,
RG21-noBHkick-SN:rapid,https://ui.adsabs.harvard.edu/abs/2021ApJ...912L..23R/abstract,2021,POSYDON,POSY,MESA,rapid SN,no BH kick , , ,RG21, ,,Hobbs 2005, ,,,,,, ,,,,,,
RG21-noBH-kick-SN:delayed,https://ui.adsabs.harvard.edu/abs/2021ApJ...912L..23R/abstract,2021,POSYDON,POSY,MESA,delayed SN,no BH kick ,  ,  ,RG21, ,,Hobbs 2005, ,,,,,, ,,,,,,
DT22-M1,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.3$,"$\xi_{ad,rad} = 4$",$\gamma = 2.5$,$T_{eff}$-K,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.3,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M2,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.7$,"$\xi_{ad,rad} = 4$",$\gamma = 2.5$,$T_{eff}$-K,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.7,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M3,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.3$,"$\xi_{ad,rad} = 4$",$\gamma = 2.5$,$T_{eff}$-IT,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.3,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M4,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.7$,"$\xi_{ad,rad} = 4$",$\gamma = 2.5$,$T_{eff}$-IT,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.7,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M5,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.3$,"$\xi_{ad,rad} = 7.5$",$\gamma = 2.5$,$T_{eff}$-K,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.3,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M6,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.7$,"$\xi_{ad,rad} = 7.5$",$\gamma = 2.5$,$T_{eff}$-K,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.7,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M7,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.3$,"$\xi_{ad,rad} = 7.5$",$\gamma = 2.5$,$T_{eff}$-IT,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.3,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M8,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.7$,"$\xi_{ad,rad} = 7.5$",$\gamma = 2.5$,$T_{eff}$-IT,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.7,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M9,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.3$,"$\xi_{ad,rad} = 4$",$\gamma = 1$,$T_{eff}$-K,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.3,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M10,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.7$,"$\xi_{ad,rad} = 4$",$\gamma = 1$,$T_{eff}$-K,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.7,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M11,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.3$,"$\xi_{ad,rad} = 4$",$\gamma = 1$,$T_{eff}$-IT,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.3,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M12,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.7$,"$\xi_{ad,rad} = 4$",$\gamma = 1$,$T_{eff}$-IT,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.7,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M13,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.3$,"$\xi_{ad,rad} = 7.5$",$\gamma = 1$,$T_{eff}$-K,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.3,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M14,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.7$,"$\xi_{ad,rad} = 7.5$",$\gamma = 1$,$T_{eff}$-K,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.7,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M15,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.3$,"$\xi_{ad,rad} = 7.5$",$\gamma = 1$,$T_{eff}$-IT,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.3,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
DT22-M16,https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2024,SeBa,SeBa,SSE,$\beta = 0.7$,"$\xi_{ad,rad} = 7.5$",$\gamma = 1$,$T_{eff}$-IT,DT22,315,75,"based on Verbunt, Igoshev & Cator (2017), The distribution of Verbunt, Igoshev & Cator (2017) is a combination of two Maxwellian functions with velocity dispersions of σ = 75 km s−1, and σ = 315 km s−1, and weights of 0.42 and 0.58, respectively", ,alpha*lambda = 0.05,0.7,pessimistic,standard,,F12 delayed,,,zeta prescription,,TRUE,
van Son (2022),https://ui.adsabs.harvard.edu/abs/2022arXiv220708837D/abstract,2023,COMPAS,COMP,SSE,fiducial , , , ,vSon22,  ,,Hobbs 2005,  ,,,,,,  ,,,,,,
Briel (2022) ,https://ui.adsabs.harvard.edu/abs/2022arXiv220613842B/abstract,2023,BPASS,BPASS,STARS,fiducial , , , ,BRI22,265,,Hobbs 2005,,,Hurley 2002,NA,BPASS,BPASS,ET04,Eldrige & Tout (2004)  https://ui.adsabs.harvard.edu/abs/2004MNRAS.353...87E/abstract ,Farmer (2019) with additional assumptions (see Briel 2023) such as the upper limit based on the He core mass from Woosley et al. ( 2002 ).,BPASS,BPASS,Eddington limited only for NS not BH,
Briel (2022) - RAPID,https://ui.adsabs.harvard.edu/abs/2022arXiv220613842B/abstract,2023,BPASS,BPASS,STARS,rapid SN, , , ,BRI22,265,,Hobbs 2005,,,Hurley 2002,NA,BPASS,BPASS,F12 delayed,Eldrige & Tout (2004)  https://ui.adsabs.harvard.edu/abs/2004MNRAS.353...87E/abstract ,Farmer (2019) with additional assumptions (see Briel 2023) such as the upper limit based on the He core mass from Woosley et al. ( 2002 ).,BPASS,BPASS,Eddington limited only for NS not BH,
Briel (2022) - DELAYED,https://ui.adsabs.harvard.edu/abs/2022arXiv220613842B/abstract,2023,BPASS,BPASS,STARS,delayed SN, , , ,BRI22,265,,Hobbs 2005,,,Hurley 2002,NA,BPASS,BPASS,F12 rapid,Eldrige & Tout (2004)  https://ui.adsabs.harvard.edu/abs/2004MNRAS.353...87E/abstract ,Farmer (2019) with additional assumptions (see Briel 2023) such as the upper limit based on the He core mass from Woosley et al. ( 2002 ).,BPASS,BPASS,Eddington limited only for NS not BH,
Olejak21-M380 (fiducial),https://ui.adsabs.harvard.edu/abs/2021A%26A...651A.100O/abstract,2021,StarTrack,StarT,SSE,fiducial , , , ,OL21,265,,Hobbs 2005,1,,0.5,pessimistic,standard,,F12 delayed,,,,"For non-degenerate accretors, we adopted a 50% nonconservative RLOF (Meurs & van den Heuvel 1989; Vinciguerra et al. 2020) with a fraction of the lost donor mass accreted onto the companion (fa = 0.5), and the rest of the mass (1 − fa), leaving the system together with part of the donor and orbital angular momentum (see Sect. 3.4 of Belczynski et al. 2008). We use 5% Bondi-Hoyle rate accretion onto the compact object during the CE phase (Ricker & Taam 2008; MacLeod & Ramirez-Ruiz 2015; MacLeod et al. 2017).","We applied procedures for accretion onto a compact object during stable RLOF and from stellar winds, based on the analytic approximations described in King et al. (2001) and Mondal et al. (2020). ",
Olejak21-M480 (changedCEcriteria),https://ui.adsabs.harvard.edu/abs/2021A%26A...651A.100O/abstract,2021,StarTrack,StarT,SSE,SMT up to $q<8$, , , ,OL21,265,,Hobbs 2005,1,,0.5,pessimistic,standard,,F12 delayed,,,new type of stability based on Pavlovskii et al. (2017) ,"For non-degenerate accretors, we adopted a 50% nonconservative RLOF (Meurs & van den Heuvel 1989; Vinciguerra et al. 2020) with a fraction of the lost donor mass accreted onto the companion (fa = 0.5), and the rest of the mass (1 − fa), leaving the system together with part of the donor and orbital angular momentum (see Sect. 3.4 of Belczynski et al. 2008). We use 5% Bondi-Hoyle rate accretion onto the compact object during the CE phase (Ricker & Taam 2008; MacLeod & Ramirez-Ruiz 2015; MacLeod et al. 2017).","We applied procedures for accretion onto a compact object during stable RLOF and from stellar winds, based on the analytic approximations described in King et al. (2001) and Mondal et al. (2020). ",
Olejak21-M481 (changedCEcriteria+switch),https://ui.adsabs.harvard.edu/abs/2021A%26A...651A.100O/abstract,2021,StarTrack,StarT,SSE,SMT up to $q<8$,,switch to CE for large radii, ,OL21,265,,Hobbs 2005,1,,0.5,pessimistic,standard,,F12 delayed,,,new type of stability based on Pavlovskii et al. (2017) ,"For non-degenerate accretors, we adopted a 50% nonconservative RLOF (Meurs & van den Heuvel 1989; Vinciguerra et al. 2020) with a fraction of the lost donor mass accreted onto the companion (fa = 0.5), and the rest of the mass (1 − fa), leaving the system together with part of the donor and orbital angular momentum (see Sect. 3.4 of Belczynski et al. 2008). We use 5% Bondi-Hoyle rate accretion onto the compact object during the CE phase (Ricker & Taam 2008; MacLeod & Ramirez-Ruiz 2015; MacLeod et al. 2017).","We applied procedures for accretion onto a compact object during stable RLOF and from stellar winds, based on the analytic approximations described in King et al. (2001) and Mondal et al. (2020). ",
Boesky_alphaCE_0_1_beta0_25,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 0.1$,$\beta = 0.25$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,0.1,,0.25,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_0_1_beta0_5,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 0.1$,$\beta = 0.5$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,0.1,,0.5,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_0_1_beta0_75,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 0.1$,$\beta = 0.75$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,0.1,,0.75,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_0_5_beta0_25,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 0.5$,$\beta = 0.25$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,0.5,,0.25,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_0_5_beta0_5,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 0.5$,$\beta = 0.5$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,0.5,,0.5,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_0_5_beta0_75,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 0.5$,$\beta = 0.75$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,0.5,,0.75,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_2_beta0_25,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 2$,$\beta = 0.25$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,2,,0.25,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
