from_modelname,to_modelname,using,travel_label,from_option,to_option,color code,legend,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-K-optimisticCE,B22-F-unstableBB-optimistic,caseBB stability,unstable caseBB,always stable,always unstable,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-L-rapid,fryer,rapid SN,delayed,rapid,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-M-max-mNS:2,ccSN,NS mass $\downarrow$ ,2.50,2.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-N-max-mNS:3,ccSN,NS mass $\uparrow$ ,2.50,3.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-O-noPISN,ccSN,no PISN,with PISN ,no PISN,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-P-sigma:100,sigma,$\sigma_{cc} \downarrow$,265.00,100.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-P-sigma:100,B22-Q-sigma:30,sigma,$\sigma_{cc} \downarrow$,100.00,30.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-R-noBHkick,ccSN,no BH kick,with BH kick,no BH kick ,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-S-fWR:0-1,wind,$f_\rm{WR} \ \downarrow$,1.00,0.10,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22-A-fiducial,B22-T-fWR:5,wind,$f_\rm{WR} \ \uparrow$,1.00,5.00,1,Broekgaarden et al. (2022),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_25,Boesky_alphaCE_0_1_beta0_5,beta,$\beta \uparrow$ ,0.25,0.50,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_5,Boesky_alphaCE_0_1_beta0_75,beta,$\beta \uparrow$ ,0.50,0.75,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
