Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.02,0.5,15964,10,4979,144,957,364,1471,3099,0,0,0,640,557,83,2755,20,5,0,0,0,27819,47,0,0,0,0,0,9,1,8,9,0,0,0,0,0,19,0,1843,235,1884,0,1884,242,238,4,2797,16,1884,0,0,0,9564,185,68,2,39,0,39,7,7,0,103,1,39,0,0,0,279,3,48,1,122,0,122,779,739,40,381,37,436,0,133,0,1428,472,32,0,117,0,117,214,202,12,8,37,223,0,133,0,284,442,fiducial_Hrad
0.03,0.5,7865,2,4258,126,1027,544,245,2279,0,0,0,20,0,20,364,8,0,0,0,0,14492,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2344,61,124,0,124,134,131,3,4043,26,123,0,0,0,8414,19,81,2,0,0,0,5,5,0,124,1,0,0,0,0,247,3,102,0,228,0,228,695,673,22,326,61,443,0,256,0,1514,536,68,0,222,0,222,254,247,7,13,60,275,0,256,0,553,535,fiducial_Hrad
0.0001,1.0,25987,4312,3968,871,171,124,296,14988,420,0,420,549,109,440,1285,517,29,1,0,0,10217,68,267,3445,76,0,76,473,66,407,836,393,29,1,0,0,7226,41,895,2345,547,0,547,0,0,0,1512,555,43,0,0,0,4037,114,420,387,18,0,18,0,0,0,441,375,43,0,0,0,1050,114,98,0,67,0,67,0,0,0,22,39,104,0,43,0,210,123,80,0,44,0,44,0,0,0,0,30,81,0,43,0,124,123,fiducial_Hrad
0.0002,1.0,28302,2989,4710,745,1507,1441,446,17000,688,0,688,687,111,576,1796,390,40,0,0,0,12844,64,313,2139,49,0,49,477,40,437,810,244,38,0,0,0,5413,33,908,2266,1414,0,1414,0,0,0,2324,404,56,0,0,0,5760,141,301,394,38,0,38,0,0,0,295,201,56,0,0,0,1012,141,1174,0,322,0,322,4,2,2,37,56,1174,0,294,0,1564,1440,1144,0,295,0,295,1,1,0,0,41,1147,0,294,0,1440,1440,fiducial_Hrad
0.0004,1.0,27007,3206,5066,886,608,343,1591,13754,1449,0,1449,919,176,743,3383,402,618,0,38,0,17711,164,272,1819,339,0,339,760,129,631,1059,253,289,0,38,0,6051,79,184,1017,3776,0,3776,0,0,0,2333,396,1443,0,217,0,9136,301,129,321,422,0,422,0,0,0,201,144,147,0,217,0,1424,300,487,0,52,0,52,63,29,34,254,42,322,0,30,0,877,330,293,0,30,0,30,20,14,6,13,22,300,0,30,0,355,330,fiducial_Hrad
0.0006,1.0,29289,3378,5666,771,1850,1541,2212,13904,2967,0,2967,1312,346,966,4368,324,2209,0,8,0,28207,188,646,1312,315,0,315,1090,332,758,1706,197,351,0,8,0,6323,77,225,901,4472,0,4472,1,1,0,2741,265,1879,0,92,0,10848,164,170,280,318,0,318,1,1,0,228,31,171,0,92,0,1363,162,1357,0,187,0,187,300,268,32,321,57,1345,0,182,0,2122,1561,1188,0,183,0,183,170,164,6,18,38,1341,0,182,0,1531,1544,fiducial_Hrad
0.0008,1.0,28714,3618,5828,886,1695,1552,2982,11555,3762,0,3762,1514,353,1161,5249,247,3098,0,8,0,31259,129,769,1229,326,0,326,1285,340,945,2063,176,318,0,8,0,6895,33,357,806,4573,0,4573,3,3,0,2357,274,2460,0,138,0,11191,223,285,227,368,0,368,3,3,0,330,59,191,0,138,0,1543,223,1176,0,332,0,332,178,137,41,145,47,1215,0,331,0,1802,1573,1109,0,331,0,331,111,105,6,7,32,1214,0,331,0,1529,1573,fiducial_Hrad
0.001,1.0,28085,3804,5967,1153,1456,1255,3526,10886,3555,0,3555,1384,337,1047,5742,287,2814,0,10,0,31628,87,973,1245,370,0,370,1205,326,879,2187,210,362,0,10,0,7321,46,564,944,4336,0,4336,19,17,2,2387,373,2417,0,138,0,11499,211,535,225,369,0,369,19,17,2,572,97,218,0,138,0,2088,210,841,0,204,0,204,400,364,36,148,44,1103,0,199,0,1535,1358,762,0,197,0,197,296,292,4,3,31,1053,0,199,0,1151,1358,fiducial_Hrad
0.002,1.0,28282,5034,6358,1341,1876,1118,4619,11478,2807,0,2807,1439,265,1174,6996,126,1953,0,0,0,36567,71,2474,1166,363,0,363,1022,117,905,3489,89,379,0,0,0,9806,24,900,982,4200,0,4200,163,152,11,2259,106,2985,0,31,0,12227,220,802,182,199,0,199,157,147,10,854,40,274,0,31,0,2458,219,825,0,262,0,262,777,710,67,381,54,1228,1,259,0,2629,1102,763,0,248,0,248,106,90,16,18,37,841,1,259,0,1133,1102,fiducial_Hrad
0.004,1.0,28786,6138,6799,2016,2452,1312,6987,9264,2484,0,2484,2056,1155,901,11404,48,195,0,0,0,37817,6,4961,209,67,0,67,899,459,440,5865,17,64,0,0,0,12228,0,2516,1379,2449,0,2449,370,289,81,2792,33,2524,0,33,0,12443,938,1435,195,83,0,83,303,230,73,854,21,934,0,33,0,3093,936,808,0,366,0,366,1273,1174,99,643,48,1432,0,374,0,3618,1278,731,0,349,0,349,231,206,25,37,38,901,0,374,0,1349,1274,fiducial_Hrad
