Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.01,0.5,23906,1079,5555,575,348,40,4674,6145,451,0,451,2127,1599,528,7291,22,25,0,0,0,34905,0,822,148,0,0,0,109,12,97,931,1,0,0,0,0,2156,0,2108,798,2008,0,2008,445,403,42,2882,10,1701,0,0,0,10600,10,353,85,29,0,29,107,99,8,459,3,31,0,0,0,1134,10,6,1,2,0,2,304,231,73,100,11,205,0,8,0,591,33,4,0,2,0,2,33,13,20,5,11,27,0,8,0,45,33,fiducial_HGoptimistic
0.014,0.5,20716,291,5746,383,354,41,3201,3694,124,0,124,1476,1254,222,4952,8,212,0,0,0,32881,0,178,1,77,0,77,35,1,34,213,0,77,0,0,0,581,0,979,190,3863,0,3863,428,402,26,1776,7,3531,0,10,0,10894,13,65,6,169,0,169,142,138,4,222,0,145,0,10,0,751,13,14,3,2,0,2,288,223,65,73,17,223,0,8,0,573,34,9,0,2,0,2,30,13,17,4,14,29,0,8,0,47,34,fiducial_HGoptimistic
0.017,0.5,20904,162,5540,353,284,33,2804,3805,17,0,17,1347,1196,151,4686,12,59,0,0,0,35515,34,127,8,0,0,0,25,0,25,152,0,0,0,0,0,322,0,1818,230,2766,0,2766,442,421,21,2509,8,2704,0,23,0,10641,111,88,5,115,0,115,138,137,1,232,0,93,0,23,0,656,42,0,0,3,0,3,276,222,54,56,13,214,0,10,0,532,26,0,0,3,0,3,29,14,15,3,13,20,0,10,0,38,26,fiducial_HGoptimistic
0.02,0.5,15939,104,5057,212,288,37,1448,3098,0,0,0,639,556,83,2731,20,5,0,0,0,27769,47,94,0,0,0,0,9,1,8,103,0,0,0,0,0,207,0,1766,229,1883,0,1883,404,400,4,2872,16,1893,0,0,0,9713,195,88,2,39,0,39,55,55,0,161,1,49,0,0,0,407,11,1,1,2,0,2,277,237,40,38,18,225,0,18,0,531,31,0,0,2,0,2,34,22,12,2,18,17,0,18,0,41,31,fiducial_HGoptimistic
0.03,0.5,7865,2,4270,170,272,66,245,2279,0,0,0,20,0,20,364,8,0,0,0,0,14492,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2264,61,124,0,124,226,223,3,4049,26,129,0,0,0,8414,43,69,2,0,0,0,61,61,0,162,1,6,0,0,0,329,9,7,0,14,0,14,249,227,22,49,42,174,0,47,0,480,60,2,0,13,0,13,51,44,7,8,41,11,0,47,0,74,58,fiducial_HGoptimistic
0.0001,1.0,25987,4312,3968,871,171,124,296,14988,420,0,420,549,109,440,1285,517,29,1,0,0,10217,68,267,3445,76,0,76,473,66,407,836,393,29,1,0,0,7226,41,895,2345,547,0,547,0,0,0,1512,555,43,0,0,0,4037,114,420,387,18,0,18,0,0,0,441,375,43,0,0,0,1050,114,98,0,67,0,67,0,0,0,22,39,104,0,43,0,210,123,80,0,44,0,44,0,0,0,0,30,81,0,43,0,124,123,fiducial_HGoptimistic
0.0002,1.0,28244,2968,4705,745,1507,1441,430,16997,649,0,649,687,111,576,1743,388,38,0,0,0,12730,64,299,2136,45,0,45,477,40,437,794,242,36,0,0,0,5371,33,908,2266,1409,0,1409,0,0,0,2319,404,56,0,0,0,5750,141,301,394,38,0,38,0,0,0,295,201,56,0,0,0,1012,141,1174,0,322,0,322,4,2,2,37,56,1174,0,294,0,1564,1440,1144,0,295,0,295,1,1,0,0,41,1147,0,294,0,1440,1440,fiducial_HGoptimistic
0.0004,1.0,26863,3192,5019,882,608,343,1574,13737,1339,0,1339,919,176,743,3273,385,601,0,38,0,17500,164,284,1810,322,0,322,760,129,631,1070,236,273,0,38,0,6022,80,184,1017,3729,0,3729,0,0,0,2289,393,1440,0,217,0,9045,301,129,321,418,0,418,0,0,0,200,141,144,0,217,0,1416,300,487,0,52,0,52,63,29,34,254,42,322,0,30,0,877,330,293,0,30,0,30,20,14,6,13,22,300,0,30,0,355,330,fiducial_HGoptimistic
0.0006,1.0,28965,3365,5571,765,944,635,2196,13788,2775,0,2775,1312,346,966,4172,321,2197,0,8,0,27707,188,661,1276,323,0,323,1090,332,758,1721,197,359,0,8,0,6297,77,225,900,4378,0,4378,1,1,0,2647,265,1879,0,92,0,10669,164,170,280,312,0,312,1,1,0,222,31,171,0,92,0,1352,162,609,0,29,0,29,300,268,32,321,57,597,0,24,0,1217,655,440,0,25,0,25,170,164,6,18,38,593,0,24,0,626,638,fiducial_HGoptimistic
0.0008,1.0,28432,3619,5726,880,585,442,2951,11435,3631,0,3631,1514,353,1161,5096,241,3089,0,8,0,30801,129,781,1218,326,0,326,1285,340,945,2075,174,318,0,8,0,6897,33,357,806,4471,0,4471,3,3,0,2256,273,2459,0,138,0,10993,223,285,227,362,0,362,3,3,0,324,59,191,0,138,0,1531,223,425,0,46,0,46,105,64,41,145,47,391,0,45,0,720,435,358,0,45,0,45,38,32,6,7,32,390,0,45,0,447,435,fiducial_HGoptimistic
0.001,1.0,27859,3786,5864,1152,486,303,3520,10794,3427,0,3427,1384,337,1047,5610,284,2812,0,10,0,31288,86,974,1226,370,0,370,1205,326,879,2188,207,362,0,10,0,7285,46,563,944,4234,0,4234,19,17,2,2284,373,2417,0,138,0,11299,210,534,225,369,0,369,19,17,2,571,97,218,0,138,0,2087,209,322,0,22,0,22,131,95,36,135,44,324,0,21,0,651,302,254,0,19,0,19,30,26,4,3,31,279,0,21,0,303,302,fiducial_HGoptimistic
0.002,1.0,28066,4946,6071,1234,698,197,4537,11440,2711,0,2711,1439,265,1174,6818,126,1953,0,0,0,36179,71,2393,1159,363,0,363,1022,117,905,3408,89,379,0,0,0,9630,24,792,977,4026,0,4026,163,152,11,1977,106,2985,0,31,0,11682,196,694,182,200,0,200,157,147,10,747,40,274,0,31,0,2268,195,167,0,35,0,35,484,417,67,136,43,513,1,41,0,1199,176,122,0,31,0,31,43,27,16,14,26,142,1,41,0,217,176,fiducial_HGoptimistic
0.004,1.0,27693,5115,6576,1956,769,171,5948,9235,2459,0,2459,2056,1155,901,10340,48,195,0,0,0,35635,6,3934,209,67,0,67,903,463,440,4842,17,64,0,0,0,10182,0,2457,1364,2300,0,2300,370,289,81,2671,33,2437,0,33,0,12084,857,1376,194,80,0,80,306,233,73,881,21,848,0,33,0,3054,855,85,0,49,0,49,630,531,99,114,33,584,0,68,0,1373,157,66,0,45,0,45,59,34,25,8,23,95,0,68,0,184,157,fiducial_HGoptimistic
0.006,1.0,26574,3298,5731,1279,692,159,5394,9809,579,0,579,2159,1313,846,8178,26,7,0,0,0,35550,0,2870,130,0,0,0,295,79,216,3167,9,0,0,0,0,6587,0,2417,1299,1615,0,1615,351,316,35,3016,26,1383,0,0,0,11247,60,999,145,15,0,15,120,99,21,1075,14,59,0,0,0,2494,60,84,0,49,0,49,557,469,88,164,40,471,0,56,0,1241,139,53,0,47,0,47,59,33,26,17,27,86,0,56,0,179,139,fiducial_HGoptimistic
0.008,1.0,25175,2092,5385,540,641,136,5656,5864,1272,0,1272,2512,1802,710,9470,50,23,0,0,0,31825,0,1918,68,0,0,0,105,10,95,2023,5,0,0,0,0,4181,0,1830,1085,1956,0,1956,434,392,42,2509,5,1727,0,0,0,10441,70,325,124,19,0,19,71,55,16,338,1,78,0,0,0,1007,70,68,0,41,0,41,527,444,83,173,32,411,0,53,0,1158,115,45,0,37,0,37,54,32,22,14,27,69,0,53,0,157,115,fiducial_HGoptimistic
0.01,1.0,24466,1223,5061,441,609,114,5161,6145,506,0,506,2145,1603,542,7830,23,46,0,0,0,36025,0,1045,148,0,0,0,30,0,30,1075,0,0,0,0,0,2445,0,1912,798,1746,0,1746,412,371,41,2533,9,1556,0,0,0,9569,67,274,85,25,0,25,57,50,7,270,1,86,0,0,0,815,67,19,1,50,0,50,504,422,82,124,33,379,0,71,0,1042,104,13,0,44,0,44,57,42,15,6,30,37,0,71,0,123,104,fiducial_HGoptimistic
0.014,1.0,20873,375,5259,329,513,116,3323,3694,172,0,172,1471,1239,232,5076,8,245,0,0,0,33200,0,258,1,97,0,97,19,1,18,277,0,97,0,0,0,749,0,826,190,3536,0,3536,432,412,20,1573,0,3200,0,57,0,9900,60,43,6,218,0,218,62,61,1,116,0,150,0,57,0,596,60,23,3,46,0,46,394,333,61,78,34,317,0,68,0,808,117,18,0,41,0,41,57,40,17,5,30,43,0,68,0,114,117,fiducial_HGoptimistic
0.017,1.0,20868,185,4864,229,569,237,2829,3805,15,0,15,1303,1147,156,4656,12,53,0,0,0,35448,34,159,8,0,0,0,16,2,14,175,0,0,0,0,0,368,0,1523,230,2445,0,2445,432,415,17,2105,6,2442,0,13,0,9348,100,108,5,79,0,79,32,32,0,111,0,100,0,13,0,403,51,2,0,57,0,57,505,465,40,62,43,288,0,215,0,765,363,1,0,53,0,53,183,173,10,5,41,17,0,215,0,111,362,fiducial_HGoptimistic
0.02,1.0,15912,70,4323,114,744,428,1446,3098,0,0,0,626,544,82,2701,19,8,0,0,0,27718,47,63,0,0,0,0,6,0,6,69,0,0,0,0,0,139,0,1486,229,1628,0,1628,369,364,5,2389,13,1642,0,0,0,8318,136,63,2,22,0,22,16,15,1,77,0,35,0,0,0,209,15,2,1,73,0,73,661,626,35,46,47,284,0,407,0,738,736,1,0,71,0,71,356,345,11,5,45,16,0,407,0,122,733,fiducial_HGoptimistic
0.03,1.0,7864,2,3616,85,1126,826,245,2279,0,0,0,20,0,20,363,8,0,0,0,0,14490,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1925,61,101,0,101,223,222,1,3423,19,101,0,0,0,7134,19,52,2,0,0,0,9,9,0,82,1,1,0,0,0,167,3,19,0,112,0,112,993,966,27,60,89,268,0,796,0,824,1423,5,0,109,0,109,712,702,10,5,86,25,0,796,0,233,1418,fiducial_HGoptimistic
0.0001,3.0,29407,6769,6426,1434,7256,6680,1740,14988,1311,0,1311,1632,142,1490,4477,1555,251,5,6,0,15934,304,1655,3445,230,0,230,1425,78,1347,3066,826,250,4,6,0,11604,271,1341,2345,2583,0,2583,3,0,3,3365,1641,564,1,84,0,8313,740,758,387,277,0,277,3,0,3,400,388,563,1,84,0,1714,740,3651,0,3553,0,3553,43,29,14,154,3764,3975,2,3125,0,7801,6697,3520,0,3130,0,3130,27,25,2,4,3666,3551,2,3125,0,6659,6695,fiducial_HGoptimistic
0.0002,3.0,31000,5187,5912,1258,5476,3537,2076,16997,881,0,881,1564,131,1433,4375,776,162,0,0,0,17512,202,1834,2136,43,0,43,1165,17,1148,2900,436,149,0,0,0,9435,169,1333,2266,2199,0,2199,8,0,8,2992,738,567,0,23,0,7636,650,734,394,118,0,118,8,0,8,317,179,524,0,23,0,1580,650,3331,0,1985,0,1985,153,70,83,1053,370,3290,0,1131,0,7341,3596,2362,0,1090,0,1090,84,63,21,13,285,2406,0,1118,0,3488,3581,fiducial_HGoptimistic
0.0004,3.0,30513,6275,5982,1426,3890,2966,3647,13737,1605,0,1605,2230,102,2128,6764,814,798,0,0,0,24377,188,2327,1810,294,0,294,1836,38,1798,4168,486,296,0,0,0,11964,100,697,1017,4077,0,4077,116,2,114,2747,915,2097,0,65,0,10558,661,647,321,352,0,352,105,2,103,388,214,652,0,65,0,2141,661,2555,0,855,0,855,474,374,100,686,854,2576,0,626,0,4704,3066,2095,0,594,0,594,277,262,15,33,799,2333,0,600,0,2907,3024,fiducial_HGoptimistic
0.0006,3.0,32199,5905,6050,1217,5638,4518,4168,13788,2870,0,2870,2479,106,2373,7356,590,2255,1,0,0,33992,172,2533,1276,166,0,166,1923,51,1872,4465,320,163,1,0,0,11413,54,683,900,4264,0,4264,141,17,124,2862,551,2210,0,25,0,11219,501,622,280,190,0,190,125,17,108,422,119,490,0,25,0,1907,500,3846,0,771,0,771,1016,883,133,1012,475,3976,0,648,0,6665,4585,3302,0,620,0,620,596,578,18,53,405,3827,0,638,0,4460,4564,fiducial_HGoptimistic
0.0008,3.0,31518,6026,5883,1145,3296,2338,4911,11435,3697,0,3697,2574,98,2476,8111,508,3168,0,0,0,36889,133,2646,1218,141,0,141,2017,55,1962,4689,287,119,0,0,0,11756,30,678,806,4141,0,4141,176,23,153,2458,567,2535,1,17,0,11069,408,605,227,163,0,163,149,19,130,505,147,396,1,17,0,1872,408,1572,0,579,0,579,1137,986,151,765,464,2131,0,396,0,4251,2327,1187,0,381,0,381,770,752,18,61,387,1891,0,386,0,2360,2315,fiducial_HGoptimistic
0.001,3.0,30818,6057,5829,1146,2612,1676,5417,10794,3492,0,3492,2383,131,2252,8517,582,2874,1,0,0,37202,60,2806,1226,156,0,156,1865,74,1791,4707,309,124,0,0,0,11905,19,613,944,3940,0,3940,239,47,192,2407,670,2377,2,20,0,11075,314,567,225,152,0,152,201,42,159,570,203,331,2,20,0,1964,314,991,0,327,0,327,1284,1149,135,682,379,1731,1,193,0,3441,1763,694,0,184,0,184,798,781,17,53,273,1431,1,192,0,1590,1761,fiducial_HGoptimistic
0.002,3.0,30067,6022,5826,1177,2234,1191,5868,11440,2696,0,2696,2125,396,1729,8747,271,2025,0,0,0,40189,61,3457,1159,89,0,89,1313,205,1108,4796,133,67,0,0,0,11914,13,821,977,3553,0,3553,366,153,213,2286,268,2460,0,2,0,11253,117,659,182,77,0,77,259,95,164,860,153,133,0,2,0,2233,117,444,0,240,0,240,1540,1403,137,551,175,1510,0,165,0,3094,1352,298,0,124,0,124,769,749,20,69,115,958,0,164,0,1030,1350,fiducial_HGoptimistic
0.004,3.0,28764,3902,5760,931,2324,1390,6855,9235,2442,0,2442,2243,1185,1058,10830,63,776,0,0,0,37572,32,3251,209,10,0,10,431,159,272,3685,20,8,0,0,0,7773,14,2068,1364,1860,0,1860,383,270,113,2903,100,1422,0,0,0,11266,27,594,194,27,0,27,116,54,62,708,57,29,0,0,0,1833,27,392,0,332,0,332,1596,1470,126,471,61,1529,0,321,0,2984,1657,329,0,276,0,276,785,767,18,56,37,1026,0,308,0,1144,1636,fiducial_HGoptimistic
0.006,3.0,27500,2171,4729,488,2422,1455,6210,9809,614,0,614,2240,1367,873,8950,26,161,0,0,0,37344,18,1963,130,0,0,0,77,20,57,2040,0,0,0,0,0,4321,18,1970,1299,1122,0,1122,291,254,37,2405,24,992,0,0,0,9314,12,296,145,10,0,10,37,29,8,333,9,10,0,0,0,963,12,401,0,408,0,408,1611,1498,113,496,54,1527,0,398,0,3137,1704,326,0,345,0,345,784,768,16,52,23,1020,0,383,0,1239,1671,fiducial_HGoptimistic
0.008,3.0,25879,1384,4361,399,2455,1515,6201,5864,1384,0,1384,2562,1851,711,10012,52,185,0,0,0,33184,31,1260,68,0,0,0,55,34,21,1313,0,2,0,0,0,2735,31,1449,1085,1325,0,1325,424,391,33,2072,0,1140,0,0,0,8479,15,171,124,17,0,17,87,81,6,259,0,16,0,0,0,782,15,318,0,514,0,514,1618,1544,74,432,55,1516,0,503,0,3090,1811,269,0,428,0,428,818,812,6,34,17,996,0,485,0,1273,1757,fiducial_HGoptimistic
